State,Label (Grouping),SEX AND AGE!!Total population,SEX AND AGE!!Total population!!Male,SEX AND AGE!!Total population!!Female,SEX AND AGE!!Total population!!18 years and over,SEX AND AGE!!Total population!!18 years and over!!Male,SEX AND AGE!!Total population!!18 years and over!!Female,EDUCATIONAL ATTAINMENT!!Population 25 years and over,EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher,"EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher!!Male, high school graduate or higher","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher!!Female, high school graduate or higher",VETERAN STATUS!!Civilian population 18 years and over,VETERAN STATUS!!Civilian population 18 years and over!!Civilian veteran,EMPLOYMENT STATUS!!Population 16 years and over,EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed!!Unemployment Rate,EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,COMMUTING TO WORK!!Workers 16 years and over,"COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van - drove alone","COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van - carpooled",COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),COMMUTING TO WORK!!Workers 16 years and over!!Walked,COMMUTING TO WORK!!Workers 16 years and over!!Other means,COMMUTING TO WORK!!Workers 16 years and over!!Worked from home,COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes),INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households,INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!Median household income (dollars),INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!With earnings,INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!With earnings!!Mean earnings (dollars),INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!With Social Security income,INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!With Social Security income!!Mean Social Security income (dollars),INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!With Supplemental Security Income,INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!With Supplemental Security Income!!Mean Supplemental Security Income (dollars),INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!With cash public assistance income,INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!With cash public assistance income!!Mean cash public assistance income (dollars),INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!With retirement income,INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!With retirement income!!Mean retirement income (dollars),INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!With Food Stamp/SNAP benefits,INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Individuals,INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Individuals!!Per capita income (dollars),"INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Individuals!!With earnings for full-time, year-round workers:!!Male","INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Individuals!!With earnings for full-time, year-round workers:!!Female","INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Individuals!!Median earnings (dollars) full-time, year-round workers:!!Male","INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Individuals!!Median earnings (dollars) full-time, year-round workers:!!Female",HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population,HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With private health insurance,HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With public coverage,HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!No health insurance coverage,POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED!!All people!!18 years and over,VEHICLES AVAILABLE!!Occupied housing units,VEHICLES AVAILABLE!!Occupied housing units!!None,VEHICLES AVAILABLE!!Occupied housing units!!1 or more,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Housing units with a mortgage (excluding units where SMOC cannot be computed),SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Housing units with a mortgage (excluding units where SMOC cannot be computed)!!Less than 30 percent,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Housing units with a mortgage (excluding units where SMOC cannot be computed)!!30 percent or more
Hawaii,Margin of Error,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±1,861",±0.5,±0.6,±0.6,"±2,922",±0.3,"±1,762",±0.6,±0.6,±0.6,±0.2,±0.3,±0.2,±0.6,"±7,030",±1.1,±0.9,±0.4,±0.4,±0.5,±0.6,±0.4,"±4,463","±2,241",±0.8,"±2,430",±0.7,±473,±0.5,±695,±0.5,±713,±0.8,"±2,043",±0.8,*****,±705,"±5,843","±5,274","±1,059","±1,077","±2,785",±0.8,±0.8,±0.4,±0.6,"±4,463",±0.6,±0.6,"±6,065",±1.7,±1.7
Idaho,Margin of Error,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±3,552",±0.4,±0.6,±0.5,"±2,502",±0.3,"±3,002",±0.6,±0.6,±0.6,±0.2,±0.3,±0.1,±0.6,"±10,127",±0.9,±0.6,±0.1,±0.3,±0.3,±0.6,±0.4,"±4,796","±1,134",±0.6,"±2,112",±0.5,±402,±0.4,±599,±0.3,±418,±0.7,"±1,381",±0.5,*****,±694,"±6,589","±6,954","±1,335",±961,"±1,541",±0.9,±0.8,±0.5,±0.5,"±4,796",±0.4,±0.4,"±6,342",±1.3,±1.3
Illinois,Margin of Error,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±4,340",±0.2,±0.3,±0.2,"±3,271",±0.1,"±6,710",±0.2,±0.2,±0.2,±0.1,±0.2,±0.1,±0.2,"±25,708",±0.4,±0.2,±0.2,±0.1,±0.1,±0.3,±0.2,"±12,532",±584,±0.3,±955,±0.2,±173,±0.2,±206,±0.1,±218,±0.3,±720,±0.3,*****,±328,"±17,887","±19,448",±723,±519,"±2,174",±0.4,±0.4,±0.2,±0.2,"±12,532",±0.3,±0.3,"±18,559",±0.6,±0.6
Indiana,Margin of Error,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±5,286",±0.3,±0.3,±0.3,"±2,670",±0.2,"±5,592",±0.3,±0.3,±0.3,±0.1,±0.2,±0.1,±0.3,"±19,810",±0.5,±0.4,±0.1,±0.1,±0.1,±0.3,±0.2,"±11,359",±659,±0.3,±952,±0.3,±227,±0.2,±299,±0.2,±283,±0.3,±713,±0.3,*****,±351,"±12,074","±13,564",±774,±470,"±1,201",±0.5,±0.4,±0.2,±0.3,"±11,359",±0.3,±0.3,"±13,986",±0.6,±0.6
Iowa,Margin of Error,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±3,801",±0.3,±0.4,±0.3,"±2,518",±0.2,"±3,155",±0.3,±0.3,±0.4,±0.2,±0.3,±0.1,±0.3,"±9,668",±0.6,±0.4,±0.1,±0.2,±0.2,±0.4,±0.3,"±5,631",±889,±0.4,"±1,322",±0.4,±292,±0.3,±437,±0.2,±384,±0.5,"±1,009",±0.4,*****,±522,"±6,865","±7,656",±809,±821,"±1,256",±0.5,±0.5,±0.2,±0.4,"±5,631",±0.3,±0.3,"±8,121",±0.9,±0.9
Kansas,Margin of Error,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±4,295",±0.3,±0.5,±0.4,"±2,891",±0.2,"±3,316",±0.4,±0.4,±0.5,±0.2,±0.3,±0.1,±0.4,"±11,258",±0.7,±0.5,±0.1,±0.2,±0.2,±0.5,±0.3,"±6,195","±1,152",±0.5,"±1,458",±0.5,±346,±0.3,±540,±0.2,±484,±0.5,"±1,089",±0.4,*****,±489,"±8,088","±8,058","±1,270",±707,"±2,153",±0.6,±0.4,±0.3,±0.5,"±6,195",±0.3,±0.3,"±7,703",±1.1,±1.1
Kentucky,Margin of Error,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±4,420",±0.3,±0.5,±0.4,"±2,821",±0.2,"±4,296",±0.4,±0.4,±0.4,±0.2,±0.3,±0.1,±0.4,"±14,934",±0.6,±0.5,±0.1,±0.1,±0.2,±0.4,±0.3,"±8,263",±924,±0.4,"±1,363",±0.4,±268,±0.3,±295,±0.2,±421,±0.5,±884,±0.4,*****,±506,"±11,496","±10,695",±632,±827,"±2,007",±0.6,±0.5,±0.3,±0.4,"±8,263",±0.3,±0.3,"±10,099",±0.8,±0.8
Louisiana,Margin of Error,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±6,621",±0.4,±0.6,±0.5,"±3,037",±0.2,"±5,274",±0.4,±0.4,±0.4,±0.2,±0.3,±0.1,±0.4,"±16,425",±0.5,±0.4,±0.1,±0.2,±0.2,±0.3,±0.3,"±10,634",±800,±0.5,"±1,241",±0.5,±305,±0.3,±293,±0.2,±434,±0.5,"±1,076",±0.5,*****,±366,"±11,863","±10,377","±1,477",±552,"±1,868",±0.7,±0.6,±0.3,±0.4,"±10,634",±0.4,±0.4,"±11,733",±1.0,±1.0
Maine,Margin of Error,*****,±0.2,±0.2,±0.1,±0.1,±0.1,"±2,323",±0.4,±0.5,±0.5,"±1,435",±0.3,"±1,904",±0.7,±0.7,±0.7,±0.2,±0.4,±0.1,±0.7,"±8,225",±1.1,±0.6,±0.2,±0.4,±0.3,±0.9,±0.5,"±5,032","±1,494",±0.8,"±2,711",±0.7,±335,±0.5,±656,±0.3,±528,±0.7,"±1,272",±0.7,*****,±915,"±4,754","±6,471","±1,984","±1,210",±801,±1.0,±0.9,±0.5,±0.6,"±5,032",±0.6,±0.6,"±6,844",±1.4,±1.4
Maryland,Margin of Error,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±3,465",±0.3,±0.4,±0.3,"±3,175",±0.2,"±4,883",±0.3,±0.3,±0.3,±0.1,±0.2,±0.1,±0.3,"±16,549",±0.6,±0.3,±0.2,±0.1,±0.2,±0.5,±0.3,"±8,175","±1,080",±0.4,"±1,291",±0.4,±260,±0.2,±408,±0.2,±318,±0.5,"±1,173",±0.4,*****,±526,"±11,704","±13,761",±896,±776,"±3,093",±0.5,±0.5,±0.3,±0.3,"±8,175",±0.3,±0.3,"±12,784",±0.7,±0.7
Massachusetts,Margin of Error,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±3,082",±0.3,±0.4,±0.3,"±2,034",±0.1,"±4,305",±0.3,±0.3,±0.3,±0.1,±0.2,±0.1,±0.3,"±19,487",±0.5,±0.3,±0.2,±0.2,±0.2,±0.4,±0.3,"±8,835","±1,260",±0.4,"±1,848",±0.3,±259,±0.2,±291,±0.2,±406,±0.4,"±1,180",±0.4,*****,±626,"±14,855","±15,177",±969,±931,"±1,385",±0.4,±0.4,±0.2,±0.3,"±8,835",±0.4,±0.4,"±14,051",±0.8,±0.8
Michigan,Margin of Error,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±4,408",±0.2,±0.2,±0.2,"±2,060",±0.1,"±5,182",±0.2,±0.2,±0.3,±0.1,±0.2,±0.1,±0.2,"±22,459",±0.4,±0.2,±0.1,±0.1,±0.1,±0.3,±0.2,"±11,504",±675,±0.3,±800,±0.3,±174,±0.2,±261,±0.1,±274,±0.2,±549,±0.3,*****,±294,"±13,933","±16,619",±423,±602,±999,±0.4,±0.3,±0.2,±0.3,"±11,504",±0.2,±0.2,"±16,361",±0.6,±0.6
Minnesota,Margin of Error,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±4,418",±0.2,±0.3,±0.3,"±2,334",±0.1,"±4,344",±0.3,±0.3,±0.3,±0.1,±0.2,±0.1,±0.3,"±14,160",±0.5,±0.3,±0.1,±0.2,±0.1,±0.4,±0.2,"±6,929",±749,±0.4,"±1,216",±0.3,±224,±0.2,±408,±0.2,±246,±0.3,±609,±0.3,*****,±432,"±9,826","±10,594",±712,±766,"±1,043",±0.5,±0.4,±0.2,±0.3,"±6,929",±0.3,±0.3,"±10,700",±0.6,±0.6
Mississippi,Margin of Error,*****,±0.2,±0.2,±0.1,±0.1,±0.1,"±4,818",±0.4,±0.6,±0.5,"±2,733",±0.3,"±4,084",±0.6,±0.6,±0.6,±0.2,±0.4,±0.1,±0.6,"±13,439",±0.7,±0.6,±0.1,±0.2,±0.2,±0.4,±0.4,"±8,056",±895,±0.7,"±1,339",±0.6,±270,±0.5,±300,±0.2,±421,±0.7,"±1,041",±0.5,*****,±408,"±9,787","±8,485",±793,±936,"±2,195",±0.6,±0.6,±0.4,±0.6,"±8,056",±0.4,±0.4,"±8,591",±1.2,±1.2
Missouri,Margin of Error,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±4,990",±0.2,±0.3,±0.3,"±3,766",±0.2,"±5,083",±0.3,±0.3,±0.4,±0.1,±0.2,±0.1,±0.3,"±18,413",±0.5,±0.3,±0.1,±0.1,±0.1,±0.3,±0.2,"±11,480",±733,±0.3,"±1,232",±0.3,±185,±0.3,±320,±0.2,±402,±0.4,±635,±0.4,*****,±419,"±11,651","±11,901",±810,±617,"±1,805",±0.5,±0.4,±0.3,±0.3,"±11,480",±0.3,±0.3,"±13,456",±0.7,±0.7
Montana,Margin of Error,*****,±0.2,±0.2,±0.1,±0.2,±0.2,"±2,895",±0.4,±0.6,±0.6,"±1,905",±0.5,"±1,971",±0.7,±0.7,±0.7,±0.2,±0.4,±0.1,±0.7,"±6,959",±1.0,±0.8,±0.2,±0.4,±0.4,±0.9,±0.6,"±4,326","±1,496",±0.9,"±2,948",±0.7,±409,±0.4,±854,±0.3,±555,±0.9,"±1,152",±0.6,*****,±971,"±4,582","±4,913","±1,702","±1,456","±1,074",±1.0,±0.8,±0.6,±0.7,"±4,326",±0.5,±0.5,"±5,071",±1.7,±1.7
Nebraska,Margin of Error,*****,±0.2,±0.2,±0.1,±0.1,±0.1,"±3,208",±0.4,±0.5,±0.5,"±2,287",±0.3,"±2,266",±0.5,±0.5,±0.5,±0.2,±0.2,±0.1,±0.5,"±8,180",±0.7,±0.5,±0.2,±0.2,±0.2,±0.5,±0.3,"±3,991","±1,168",±0.6,"±2,082",±0.5,±420,±0.3,±622,±0.3,±478,±0.6,"±1,691",±0.6,*****,±697,"±6,783","±6,399","±1,265","±1,048","±1,573",±0.7,±0.7,±0.4,±0.6,"±3,991",±0.4,±0.4,"±5,997",±1.2,±1.2
Nevada,Margin of Error,*****,±0.1,±0.1,±0.1,±0.1,±0.1,"±2,501",±0.5,±0.6,±0.6,"±2,827",±0.3,"±3,226",±0.5,±0.6,±0.6,±0.2,±0.4,±0.1,±0.5,"±15,372",±0.8,±0.6,±0.3,±0.2,±0.3,±0.5,±0.4,"±7,074","±1,026",±0.5,"±1,995",±0.5,±418,±0.4,±483,±0.3,±368,±0.6,"±1,101",±0.7,*****,±710,"±9,492","±8,676",±851,±844,"±2,624",±0.8,±0.7,±0.4,±0.5,"±7,074",±0.4,±0.4,"±10,247",±1.1,±1.1
